id,timestamp,src_bytes,dst_bytes,duration,serror_rate,count_val,protocol,service,flag,prediction,severity,alert_type,zone
8141,2026-03-19 01:59:39,342.0,263.0,14.0,0.02,29.0,0,6,7,0,2.08,Green,North
7451,2026-03-19 01:48:09,868.0,23.0,12.0,0.09,46.0,1,7,6,0,1.58,Green,South
5466,2026-03-19 01:44:55,593.0,217.0,1.0,0.06,2.0,2,3,4,0,1.14,Green,West
8559,2026-03-19 01:41:19,3866.0,2230.0,22.0,0.19,147.0,1,4,1,1,4.19,Yellow,North
7554,2026-03-19 01:34:45,2759.0,6510.0,69.0,0.67,215.0,0,8,4,1,7.73,Red,East
7436,2026-03-19 01:33:19,27802.0,6812.0,33.0,0.58,454.0,2,6,2,1,7.98,Red,South
5329,2026-03-19 01:27:31,233.0,384.0,0.0,0.09,60.0,0,1,9,0,1.34,Green,West
7854,2026-03-19 01:25:59,1937.0,2373.0,16.0,0.38,26.0,1,2,7,0,5.63,Yellow,West
8552,2026-03-19 01:19:44,87.0,91.0,1.0,0.01,6.0,1,6,0,0,2.0,Green,North
6539,2026-03-19 01:10:04,3385.0,1171.0,38.0,0.11,81.0,1,9,9,1,5.11,Yellow,East
9119,2026-03-19 01:07:42,4030.0,1553.0,23.0,0.2,117.0,2,8,6,1,4.0,Yellow,West
4082,2026-03-19 01:05:43,4859.0,1787.0,30.0,0.16,139.0,2,9,6,1,5.14,Yellow,North
5975,2026-03-19 01:05:28,811.0,253.0,14.0,0.07,44.0,0,4,3,0,0.96,Green,West
9781,2026-03-19 01:05:27,5246.0,598.0,41.0,0.12,80.0,1,2,6,1,5.71,Yellow,North
9716,2026-03-19 00:57:35,2352.0,4826.0,24.0,0.7,430.0,2,7,5,1,6.77,Red,East
3112,2026-03-19 00:55:47,2845.0,1495.0,7.0,0.29,45.0,0,3,7,1,5.74,Yellow,West
3019,2026-03-19 00:54:46,687.0,1274.0,9.0,0.29,134.0,0,2,9,1,4.87,Yellow,West
5602,2026-03-19 00:47:19,4992.0,2361.0,18.0,0.32,133.0,0,2,9,0,5.85,Yellow,West
3601,2026-03-19 00:47:16,831.0,200.0,1.0,0.09,10.0,2,2,8,0,1.81,Green,East
4780,2026-03-19 00:40:51,23285.0,4200.0,43.0,0.63,262.0,1,9,2,1,7.7,Red,East
9994,2026-03-19 00:40:06,872.0,543.0,1.0,0.02,56.0,0,3,1,0,2.73,Green,West
5323,2026-03-19 00:28:02,536.0,106.0,2.0,0.02,57.0,0,4,2,0,2.81,Green,North
7493,2026-03-19 00:23:06,5886.0,330.0,29.0,0.1,192.0,2,3,5,0,5.76,Yellow,North
8288,2026-03-19 00:18:07,419.0,8.0,0.0,0.01,9.0,0,2,0,0,1.46,Green,West
4080,2026-03-19 00:14:52,181.0,142.0,6.0,0.07,28.0,2,6,5,0,2.15,Green,North
3932,2026-03-19 00:10:17,569.0,411.0,11.0,0.06,48.0,1,0,0,0,1.06,Green,South
10080,2026-03-19 00:03:16,368.0,375.0,5.0,0.04,26.0,1,2,2,0,1.56,Green,East
8323,2026-03-19 00:00:10,5474.0,409.0,0.0,0.28,109.0,0,4,9,1,4.96,Yellow,North
8869,2026-03-18 23:47:53,474.0,323.0,4.0,0.02,5.0,2,4,9,0,0.71,Green,East
8070,2026-03-18 23:42:11,2075.0,1929.0,17.0,0.15,125.0,1,7,6,1,4.94,Yellow,North
4553,2026-03-18 23:39:51,1775.0,5812.0,39.0,0.82,268.0,0,9,6,1,6.5,Red,West
7836,2026-03-18 23:34:26,3035.0,4802.0,67.0,0.96,169.0,0,7,9,1,7.42,Red,South
4476,2026-03-18 23:34:03,122.0,497.0,3.0,0.03,47.0,2,5,9,0,2.26,Green,East
10153,2026-03-18 23:33:15,536.0,543.0,0.0,0.03,4.0,1,8,5,0,1.89,Green,North
5683,2026-03-18 23:23:22,281.0,211.0,2.0,0.06,36.0,2,8,0,0,1.67,Green,West
5637,2026-03-18 23:07:34,379.0,319.0,13.0,0.1,8.0,0,0,6,0,1.58,Green,North
2540,2026-03-18 23:00:05,727.0,190.0,6.0,0.06,18.0,0,6,0,0,2.04,Green,East
2925,2026-03-18 22:59:05,32196.0,7449.0,30.0,0.51,245.0,1,2,9,1,6.5,Red,West
6767,2026-03-18 22:49:31,764.0,201.0,5.0,0.16,81.0,2,1,9,0,5.27,Yellow,East
8914,2026-03-18 22:47:45,363.0,420.0,4.0,0.08,33.0,1,8,0,0,2.44,Green,West
7142,2026-03-18 22:42:18,17255.0,3495.0,20.0,0.42,263.0,0,7,0,1,6.52,Red,West
8525,2026-03-18 22:40:52,607.0,105.0,0.0,0.02,15.0,2,8,3,0,1.98,Green,East
2614,2026-03-18 22:40:28,10639.0,3007.0,29.0,0.57,475.0,0,1,2,1,6.73,Red,North
7201,2026-03-18 22:39:56,402.0,249.0,11.0,0.07,21.0,0,5,9,0,1.59,Green,West
8111,2026-03-18 22:39:47,734.0,508.0,13.0,0.05,7.0,1,9,7,0,1.34,Green,North
10125,2026-03-18 22:36:05,5343.0,1185.0,16.0,0.11,41.0,2,7,6,0,4.18,Yellow,South
4630,2026-03-18 22:35:02,245.0,480.0,12.0,0.04,60.0,2,3,3,0,2.08,Green,North
5547,2026-03-18 22:28:41,28622.0,7861.0,82.0,0.83,113.0,0,5,9,1,8.82,Red,South
3480,2026-03-18 22:25:54,29429.0,8369.0,10.0,0.82,299.0,1,3,6,1,6.51,Red,West
9660,2026-03-18 22:23:20,533.0,125.0,2.0,0.03,37.0,0,4,5,0,1.28,Green,East
3637,2026-03-18 22:10:40,372.0,382.0,4.0,0.1,45.0,2,2,7,0,1.91,Green,North
9571,2026-03-18 22:07:46,2612.0,624.0,13.0,0.24,64.0,2,8,1,1,4.45,Yellow,West
9780,2026-03-18 22:07:04,3011.0,2264.0,23.0,0.38,54.0,1,0,2,0,4.5,Yellow,North
5243,2026-03-18 22:03:46,66.0,58.0,2.0,0.08,18.0,1,6,0,0,2.05,Green,West
6059,2026-03-18 21:34:22,13879.0,7681.0,80.0,0.37,112.0,1,1,1,1,8.11,Red,South
4869,2026-03-18 21:34:15,751.0,3.0,5.0,0.04,51.0,1,6,8,0,1.8,Green,East
6593,2026-03-18 21:34:14,385.0,89.0,1.0,0.09,52.0,0,8,1,0,1.15,Green,South
8700,2026-03-18 21:13:57,6296.0,5975.0,10.0,0.99,349.0,0,4,6,1,6.5,Red,West
5199,2026-03-18 21:11:42,15616.0,8630.0,42.0,0.61,160.0,1,8,8,1,7.38,Red,East
8104,2026-03-18 21:08:38,4902.0,1675.0,33.0,0.25,190.0,1,6,2,1,4.81,Yellow,North
2886,2026-03-18 21:03:42,374.0,272.0,4.0,0.05,10.0,2,5,3,0,1.88,Green,South
9187,2026-03-18 20:54:40,744.0,531.0,8.0,0.09,18.0,1,2,7,0,1.46,Green,South
7697,2026-03-18 20:51:45,466.0,175.0,5.0,0.05,35.0,2,9,9,0,2.18,Green,West
3377,2026-03-18 20:50:16,34231.0,4976.0,31.0,0.6,456.0,1,1,7,1,7.7,Red,North
8879,2026-03-18 20:30:26,666.0,348.0,9.0,0.09,21.0,2,1,0,0,1.73,Green,North
5380,2026-03-18 20:25:58,6155.0,7542.0,77.0,0.39,335.0,1,4,9,1,6.5,Red,West
9982,2026-03-18 20:21:03,1994.0,208.0,7.0,0.16,21.0,1,4,2,0,4.7,Yellow,South
6365,2026-03-18 20:07:00,2995.0,1195.0,0.0,0.21,101.0,1,2,8,1,4.78,Yellow,West
8330,2026-03-18 20:01:05,735.0,141.0,14.0,0.06,36.0,0,5,1,0,1.62,Green,North
7287,2026-03-18 19:57:54,11879.0,6325.0,55.0,0.82,461.0,0,8,7,1,7.62,Red,West
